make,model,make_year,fuel_type,transmission,kms_driven,engine_size,body_type,price,key
Mazda,CX-5,2018,Gasoline,Automatic,"40,000 Km",2.0,Crossover,₱1.19 Million,Mazda CX-5
Toyota,Fortuner,2017,Diesel,Automatic,"50,000 Km",2.393,Suv,₱1.19 Million,Toyota Fortuner
Ford,Everest,2017,Diesel,Automatic,"60,000 Km",3.2,Suv,₱1.19 Million,Ford Everest
Toyota,Innova,2022,Diesel,Automatic,"7,000 Km",2.755,Mpv,₱1.19 Million,Toyota Innova
Mitsubishi,Montero,2017,Diesel,Automatic,"24,300 Km",2.4,Suv,₱1.198 Million,Mitsubishi Montero
Lincoln,Navigator,2010,Gasoline,Automatic,"53,000 Km",5.4,Suv,₱1.198 Million,Lincoln Navigator
Toyota,Hiace,2019,Diesel,Manual,"17,000 Km",2.755,Van,₱1.198 Million,Toyota Hiace
Audi,Q3,2013,Diesel,Automatic,1 Km,1.968,Suv,₱1.198 Million,Audi Q3
Ford,Ranger,2020,Diesel,Automatic,"27,000 Km",2.0,Pickup-trucks,₱1.198 Million,Ford Ranger
Mitsubishi,Montero,2019,Diesel,Automatic,"9,000 Km",2.442,Suv,₱1.198 Million,Mitsubishi Montero
Mitsubishi,Montero,2018,Diesel,Automatic,"37,000 Km",2.442,Suv,₱1.198 Million,Mitsubishi Montero
Toyota,Alphard,2013,Gasoline,Automatic,"63,000 Km",3.5,Mpv,₱1.2 Million,Toyota Alphard
Foton,Traveller,2022,Diesel,Manual,"8,000 Km",2.8,Van,₱1.2 Million,Foton Traveller
Mitsubishi,Montero,2016,Diesel,Automatic,"25,000 Km",2.4,Suv,₱1.2 Million,Mitsubishi Montero
Toyota,Innova,2018,Diesel,Automatic,"25,000 Km",2.755,Mpv,₱1.2 Million,Toyota Innova
BMW,X3,2009,Gasoline,Automatic,"40,000 Km",1.997,Suv,₱1.2 Million,BMW X3
Geely,Okavango,2022,Gasoline,Dual-clutch,"20,000 Km",1.477,Suv,₱1.2 Million,Geely Okavango
Toyota,Fortuner,2017,Diesel,Automatic,"75,000 Km",2.393,Suv,₱1.2 Million,Toyota Fortuner
Isuzu,mu-X,2018,Diesel,Automatic,"25,000 Km",2.999,Suv,₱1.2 Million,Isuzu mu-X
Subaru,XV,2019,Gasoline,Cvt,"39,000 Km",1.995,Crossover,₱1.2 Million,Subaru XV
BMW,5,2016,Diesel,Automatic,"82,000 Km",1.995,Sedan,₱1.2 Million,BMW 5
Suzuki,Jimny,2020,Gasoline,Automatic,"28,000 Km",1.462,Suv,₱1.2 Million,Suzuki Jimny
Ford,Everest,2018,Diesel,Automatic,"38,000 Km",2.0,Suv,₱1.2 Million,Ford Everest
