,model,price,registration_year,make_year,fuel_type,body_type,kms_driven,ownership,transmission,city,seats,engine_displacement
85,2014 Toyota Innova 2.0 G Gas AT Detail,"₱589,000 ",2014.0,2014,Gasoline,Mpv,"90,000 Km",First Owner,Automatic,Manila,8 seat,1998 CC
86,2015 Hyundai Tucson 2.0L AT FWD Gas Detail,"₱590,000 ",2015.0,2015,Gasoline,Suv,"64,000 Km",First Owner,Automatic,Pasig,,1998 CC
87,2010 Toyota Fortuner 2.4 G Diesel 4x2 AT Detail,"₱590,000 ",2022.0,2010,Diesel,Suv,"82,000 Km",Second Owner,Automatic,Bulacan,7 seat,2393 CC
88,2015 Nissan X–Trail 2.0L 4x2 Detail,"₱590,000 ",,2015,Gasoline,Crossover,"40,000 Km",First Owner,Cvt,Las Piñas,7 seat,1997 CC
89,2016 Mitsubishi ASX 2.0 GSR AT Detail,"₱590,000 ",,2016,Gasoline,Suv,"20,000 Km",First Owner,Cvt,Las Piñas,5 seat,1998 CC
90,2007 Toyota Fortuner 2.5 G AT Detail,"₱590,000 ",,2007,Diesel,Suv,,First Owner,Automatic,Pasay,,
91,2015 Isuzu Crosswind XT Detail,"₱590,000 ",,2015,Diesel,Mpv,"52,000 Km",First Owner,Manual,Iloilo City,7 seat,2499 CC
92,2014 Chevrolet Trailblazer 2.8 6AT 4X2 LT Detail,"₱590,000 ",,2014,Diesel,Suv,"70,000 Km",First Owner,Automatic,Las Piñas,7 seat,2776 CC
93,2016 Nissan Juke 1.6 Upper CVT Detail,"₱590,000 ",2016.0,2016,Gasoline,Crossover,"36,000 Km",First Owner,Cvt,Cebu City,5 seat,1598 CC
94,2012 Toyota Avanza 1.3 E CVT Detail,"₱590,000 ",2012.0,2012,Gasoline,Mpv,"85,000 Km",First Owner,Cvt,Quezon City,7 seat,1329 CC
95,2013 Ford Ranger 2.0L Turbo XL 4x4 MT Detail,"₱590,000 ",2013.0,2013,Diesel,Pickup-trucks,"95,000 Km",Second Owner,Manual,Puerto Princesa City,5 seat,1996 CC
96,2014 Isuzu D-Max 3.0 4x2 LS-A AT Detail,"₱590,000 ",2014.0,2014,Diesel,Pickup-trucks,"142,685 Km",More than three owners,Automatic,Manila,5 seat,2999 CC
97,2005 BMW 7 Series Sedan 730Li Detail,"₱595,000 ",2005.0,2005,Gasoline,Sedan,"70,000 Km",First Owner,Automatic,Quezon City,,2998 CC
