Make,Model,Price,Vehicle,Fuel,Transmission,Mileage,Engine,Body
Audi,A6,798000,2009,Diesel,Automatic,"26,000",3,Sedan
Nissan,Terra,1118000,2019,Diesel,Automatic,"66,000",2.5,SUV
Mitsubishi,L300,750000,2023,Diesel,Manual,"7,000",2.2,Commercial
Mitsubishi,Montero,1075999,2017,Diesel,Automatic,"18,700",2.5,SUV
Mazda,CX-9,1099000,2019,Gasoline,Automatic,"94,841",2.5,SUV
Audi,Q7,2500000,2019,Diesel,Automatic,"101,000",3,SUV
Mitsubishi,Mirage,488000,2019,Gasoline,Automatic,"33,000",1.2,Sedan
Nissan,Patrol,1600000,2016,Diesel,Automatic,"60,000",3,SUV
Ford,Explorer,700000,2014,Gasoline,Automatic,"90,000",2,SUV
Hyundai,Tucson,670000,2018,Diesel,Automatic,"46,726",2,Crossover
Ford,Ranger,1000000,2014,Diesel,Manual,"74,000",2.2,Pickup
MG,HS,1100000,2022,Gasoline,Automatic,"18,000",1.5,Crossover
Mitsubishi,Montero,1420000,2020,Diesel,Automatic,"27,000",2.4,SUV
Ford,Territory,1000000,2022,Gasoline,Automatic,"7,021",,Crossover
Toyota,Wigo,500000,2022,Gasoline,Automatic,"3,850",1,Hatchback
MINI,Cooper,510000,2005,Gasoline,Automatic,"68,000",1.6,Sedan
Mitsubishi,Mirage,680000,2023,Gasoline,Automatic,"5,400",1.2,Sedan
Volkswagen,Santana,690000,2019,Gasoline,Automatic,"26,300",1.5,Wagon
Ford,Everest,950000,2018,Diesel,Automatic,"100,000",2.2,SUV
Suzuki,Ertiga,700000,2020,Gasoline,Automatic,"12,387",1.5,MPV
Mazda,3,950000,2020,Gasoline,Automatic,"10,300",2,Hatchback
MG,RX5,629000,2019,Gasoline,Automatic,"70,000",1.5,Crossover
Hyundai,Tucson,330000,2012,Gasoline,Manual,"88,600",2,SUV
Toyota,86,1750000,2019,Gasoline,Automatic,"7,000",2,Coupe
Nissan,NV350,1179000,2019,Diesel,Automatic,"67,000",,Van
Toyota,Vios,350000,2017,Gasoline,Manual,"85,000",1.3,Sedan
Nissan,Patrol,1850000,2013,Gasoline,Automatic,"120,000",,Wagon
Land,Range,5600000,2023,Diesel,Automatic,70,2,SUV
Mazda,CX-5,750000,2014,Gasoline,Automatic,"44,000",2.5,Crossover
Nissan,Juke,550000,2016,Gasoline,CVT,"40,000",,SUV
Nissan,Navara,950000,2018,Diesel,Automatic,"74,000",2.5,Pickup
Ford,Ranger,1460000,2019,Diesel,Automatic,"26,000",2,Pickup
Toyota,Hilux,830000,2013,Diesel,Automatic,"114,000",3,Pickup
Chery,Tiggo,1550000,2022,Gasoline,Automatic,"6,600",1.6,SUV
Subaru,Forester,340000,2010,Gasoline,Automatic,"99,000",2,SUV
Maxus,V80,750000,2020,Diesel,Manual,"2,800",2.5,Van
Mitsubishi,Adventure,235000,1999,Gasoline,Automatic,"180,000",,MPV
Honda,City,520000,2016,Gasoline,Automatic,"68,000",1.5,Sedan
Toyota,Fortuner,520000,2010,Gasoline,Automatic,"115,000",2.7,SUV
Lexus,NX,2000000,2018,Gasoline,Automatic,"40,000",2,Crossover
Toyota,Innova,660000,2017,Diesel,Manual,"83,280",2.8,MPV
Mitsubishi,Adventure,355000,2011,Diesel,Manual,"151,000",,MPV
BMW,520i,3850000,2022,Gasoline,Automatic,"4,500",2,Sedan
Toyota,Wigo,565000,2022,Gasoline,Automatic,"16,500",1,Hatchback
Jeep,Grand,2130000,2015,Diesel,Automatic,"24,000",,SUV
Mitsubishi,Xpander,750000,2019,Gasoline,Automatic,"16,563",1.5,MPV
Ford,Explorer,1330000,2016,Gasoline,Automatic,"63,000",,SUV
Hyundai,Grand,400000,2008,Diesel,Automatic,"160,000",,Van
Geely,Azkarra,1350000,2022,Diesel,Automatic,"4,652",,Crossover
Mazda,CX-5,1200000,2017,Gasoline,Automatic,"58,000",,Wagon
Ford,Ranger,1450000,2019,Diesel,Automatic,"17,600",,Pickup
Mercedes-Benz,C250,1800000,2013,Gasoline,Automatic,"45,000",,Coupe
Toyota,86,2400000,2013,Gasoline,Manual,"35,000",2,Coupe
Suzuki,Ertiga,788000,2020,Gasoline,Automatic,"12,400",1.5,MPV
Suzuki,Ertiga,600000,2021,Gasoline,Manual,"2,500",,MPV
Kia,Sportage,950000,2017,Gasoline,Automatic,"38,971",2,Crossover
Hyundai,Accent,385000,2016,Diesel,Automatic,"105,000",1.6,Sedan
Mazda,CX-5,520000,2012,Gasoline,Automatic,"48,000",2.0,SUV
Foton,Gratour,350000,2019,Gasoline,Manual,"17,000",1.5,Minivan
